NOM_ENT,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM_2020
Coahuila de Zaragoza,Acuña, 163 058,1.684883163,27.11824709,0.169817938,0.316255145,0.590671088,18.7693615,0.896510562,1.737418587,87.16736817,58.44077231
Coahuila de Zaragoza,Allende, 23 056,2.085205824,25.85730923,0.234548061,0.078182687,0.130304478,14.38586235,0.31707423,7.286606523,58.44530956,59.75285034
Coahuila de Zaragoza,Arteaga, 29 578,3.696261682,31.34363157,0.926931957,0.454915807,3.130304882,18.13964272,2.211803078,47.48123605,58.29489292,58.00406928
Coahuila de Zaragoza,Candela, 1 643,7.41989882,46.12141653,0.791717418,0.426309379,0.913520097,18.93617058,0.730816078,100,75.69296375,55.87865704
Coahuila de Zaragoza,Castaños, 29 128,1.590097596,23.40169834,0.329976283,0.38497233,3.096964906,18.37831306,0.302478259,6.227684702,61.02635229,59.26966128
Coahuila de Zaragoza,Cuatro Ciénegas, 12 715,3.650282925,33.78453345,1.016708701,2.600882724,6.076607818,19.45401573,1.560529634,18.24616595,68.32214765,57.17955228
Coahuila de Zaragoza,Escobedo, 3 047,3.435639029,36.69262483,0.887865834,0.295955278,4.899704045,18.96361542,0.230187438,100,75,56.40268648
Coahuila de Zaragoza,Francisco I. Madero, 59 035,2.887820208,30.14623929,0.971631085,0.162778079,1.537991962,17.4222393,1.115764842,44.60235454,77.51051463,57.78377869
Coahuila de Zaragoza,Frontera, 82 409,1.500981795,21.33907162,0.130125991,0.154448606,0.383081189,17.84122086,0.322274651,8.696865634,50.31029768,60.04328141
Coahuila de Zaragoza,General Cepeda, 11 898,4.678500059,32.7884622,1.924054925,0.449228683,1.517206306,21.13676643,0.829945799,53.4795764,74.9610794,57.08010407
Coahuila de Zaragoza,Guerrero, 1 643,6.921824104,39.65011447,1.289134438,0.675260896,1.043585021,14.23076916,0.982197667,100,90.81803005,55.62709271
Coahuila de Zaragoza,Hidalgo, 1 735,4.816112084,36.44761981,0.173210162,0.519630485,0.866050808,18.94093704,0.866050808,100,89.11564626,56.03079705
